Rank,Title, URL, Human_Readable_Date, Timestamp"1", "Show HN: Yappy – A Python TUI to automate LinkedIn yapping", "https://github.com/JienWeng/yappy", 1772770928, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"2", "Shut Up and Take My Money", "https://lorendb.dev/posts/shut-up-and-take-my-money/", 1772770667, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"3", "Spell UI", "https://spell.sh/", 1772770615, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"4", "Show HN: Swarm – Program a colony of 200 ants using a custom assembly language", "https://dev.moment.com/", 1772770540, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"5", "Show HN: Custom Search Engine on Safari and Spotlight (macOS)", "https://knhash.in/custom-search-engine-on-safari-and-spotlight-macos/", 1772770493, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"6", "Show HN: SafeAgent – exactly-once execution guard for AI agents", "https://news.ycombinator.com/item?id=47270797", 1772770487, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"7", "Enhanced brain cells clear away dementia-related proteins", "https://medicalxpress.com/news/2026-03-brain-cells-dementia-proteins.html", 1772770479, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"8", "Google Patent: Sending Searchers to AI-Generated Pages over Your Site", "https://www.seroundtable.com/google-patent-ai-generated-pages-search-41010.html", 1772770356, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"9", "System76 on Age Verification Laws", "https://blog.system76.com/post/system76-on-age-verification/", 1772770346, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"10", "A Technology for a Low-Trust Society", "https://www.theatlantic.com/technology/2026/03/central-lie-prediction-markets/686250/", 1772770168, Wed Jan 21 1970 07:26:10 GMT-0500 (Eastern Standard Time)
"11", "Tollund Man", "https://en.wikipedia.org/wiki/Tollund_Man", 1772769867, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
"12", "Show HN: Steadwing – Your Autonomous On-Call Engineer", "https://www.steadwing.com/", 1772769745, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
"13", "Show HN: Verak – Fake Seller Detection for Digital Marketplaces", "https://www.verak.io/demo", 1772769699, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
"14", "One Agent SDK – Embed Claude Code in Your App with Codex and Kimi", "https://odysa.github.io/one-agent-sdk/", 1772769690, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
"15", "Don't Call It 'Intelligence'", "https://www.theatlantic.com/ideas/2026/03/intelligence-concept/686121/", 1772769681, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
"16", "Parakaryon: The only species with a unknown position in the tree of life", "https://en.wikipedia.org/wiki/Parakaryon", 1772769678, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
"17", "Warden by Sentry", "https://warden.sentry.dev/", 1772769636, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
"18", "Show HN: kg Food Log: Reveal the molecules in your foods", "https://kg.enzom.dev/", 1772769605, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
"19", "On the need for a censorship API for legal compliance in some regions", "https://lists.debian.org/debian-legal/2026/03/msg00018.html", 1772769524, Wed Jan 21 1970 07:26:09 GMT-0500 (Eastern Standard Time)
